user_id,user_name,pubtime,class,content,location,wb_type
1703371307,北京晚报,07月17日12:05,0,根据市、区气象局会商研判，昌平区已发布暴雨黄色预警、地质灾害黄色预警。根据市、区防汛工作要求，为最大限度保障游客人身安全，通知如下：一是7月17日，山区景区暂时关闭。二是7月17日山区乡村民宿、乡村旅游民俗户暂时关闭。三是旅行社7月17日暂停组织团队到山区地质灾害隐患类景区旅游。请大家尽量减少不必要出行，不要前往涉山涉水景区游玩，注意雷雨、大风等防范。 ,,原创
1756595897,火星跑步者,07月17日12:18,0,继续发布暴雨黄色预警！北京西部有大到暴雨：据中央气象台7月17日10时继续发布暴雨黄色预警。 ,,原创
2081741101,北京市怀柔区人民法院,07月17日12:33,0,【雨天的故宫如何“避雨”？】翻阅史料我们会发现，自故宫建成以来，纵使北京城的暴雨再怎么大，其他地方再怎么被淹，故宫被淹次数却是屈指可数。这得益于老祖宗用智慧修建的排水系统↓#北京下午到夜间有降雨# ,,原创
7629456929,新华视点客户端,07月17日12:38,0,未来三天华北黄淮将再迎强降雨央广网官方账号据中央气象台预计，7月16日夜间至19日，京津冀地区、山西东部和南部、山东西南部、河南、湖北中东部、安徽北部等地将有大到暴雨，累计降雨量有30～70毫米，太行山东麓部分地区可达120～180毫米，局地250～350毫米。上述部分地区还伴有雷电、短时强降雨、雷暴大风或冰雹等强对流天气，最大小时降雨量30～60毫米，局地可达80～100毫米；并伴有6～8级阵风，最大阵风可达10～11级。此外，7月16日下午至18日，北京地区将有大到暴雨，主要降雨时段在16日后半夜至17日夜间，全市平均降雨量40～70毫米，西部和南部地区有60～80毫米，局地可达100～150毫米，过程最大小时降雨量有50～80毫米。 ,,原创
6100640122,三宝雪,07月17日12:45,0,等了半天的雨又爽约了 ,,原创
6026323762,可乐布丁芒果冰,07月17日12:47,0,天津这天气，我下午注定去不了北京了，哪怕站在场馆外 ,,原创
1411163204,健康时报,07月17日12:56,0,【多地发布暴雨黄色预警！周末北京、河北、山东等将现大到暴雨】中央气象台7月16日18时发布暴雨黄色预警。预计，7月16日20时至17日20时，北京西部、河北中部和南部、山东西部、河南南部、安徽中北部、湖北东部和西南地区东部等地部分地区有大到暴雨。其中，河南东南部、安徽北部、湖北东北部以及贵州西北部和云南东北部等地部分地区有大暴雨（100～180毫米）。上述部分地区伴有短时强降水（最大小时降雨量30～60毫米，局地可超过80毫米），局地有雷暴大风等强对流天气。此外，据中国天气网，7月16日开始，广东大部市县自东向西（雷）阵雨天气上线，粤东、河源、珠三角等地雨势较强，局地或有大暴雨现身，需注意防范。中华人民共和国应急管理部提醒，暴雨期间尽量不要外出，注意及时通过广播、电视、手机或网络等渠道关注天气预报，及时掌握暴雨最新消息。驾驶员遇到露天或立交桥下积水过深时，应该尽量绕行，避免强行通过;当汽车在低洼积水处熄火时，人千万不要在车上等候，要下车到高处等待救援。此外，要注意检查电路、炉火等设施，当积水漫入室内时，立即切断电源，防止积水带电伤人。居民住户因地制宜在家门口放置挡水板、堆置沙袋。如果身处室外，应立即停止农事活动和户外活动；在户外积水中行走时，要注意观察，贴近建筑物行走，防止跌入窖井、地坑等。（任璇整理） ,,原创
5666002120,惊鸿予予予you,07月17日12:58,0,在北京暴雨??前结束了我们的旅行，期待首都的下次之旅，附上这个在长城上吃炸鸡吃的特欢的小伙砸。 2合肥·庐江县 ,合肥·庐江县,原创
6471829612,小乔Er哪哪哪,07月17日13:01,0,与好朋友在五台山自驾行中路过，由于暴雨没能上山，抱着试试看的态度，走国道回北京。沿途风景还不错，道路两旁总能看到大大小小的寺庙，很有佛教圣地的感觉。#遇见美好# ,,原创
7453395631,___怎样_,07月17日13:07,0,继河北地质灾害预警爬山后又一伟大成就 北京暴雨预警玩水 ,,原创
