user_id,user_verify
1001159180,普通用户
1002115917,个人认证
1002224393,个人认证
1002915200,普通用户
1003840320,普通用户
1004678243,普通用户
1005334130,普通用户
1006068657,普通用户
1007540754,普通用户
1007876435,普通用户
1008746521,个人认证
1008816697,普通用户
1008957283,普通用户
1008957800,普通用户
1010418470,普通用户
1010738632,普通用户
1010988110,普通用户
1011435163,普通用户
1011918531,普通用户
1013106920,普通用户
1013961190,个人认证
1015196263,普通用户
1015230843,普通用户
1015265663,个人认证
1015528463,普通用户
1015811411,普通用户
1017311953,普通用户
1025420847,普通用户
1027993190,普通用户
1028511412,普通用户
1028862243,个人认证
1029003477,普通用户
1032252247,普通用户
1033366920,普通用户
1034227913,普通用户
1035204045,个人认证
1038800781,个人认证
1040195261,个人认证
104020,普通用户
1040681364,普通用户
1041277887,普通用户
1041336035,个人认证
1043320390,官方认证
1047061427,普通用户
1047488171,普通用户
1048402277,普通用户
1048465162,普通用户
1048841010,个人认证
1050096271,普通用户
1051528605,个人认证
1054892153,普通用户
1056475495,普通用户
1057171524,普通用户
1057734167,个人认证
1059823381,普通用户
1059826364,普通用户
1061183645,普通用户
1061481002,普通用户
1062707635,普通用户
1064059527,普通用户
1065101375,普通用户
1065190973,官方认证
1066197297,个人认证
1066505071,普通用户
1066937650,个人认证
1067121031,个人认证
1068365991,普通用户
1069446540,普通用户
1071815254,普通用户
1072973912,普通用户
1073134670,普通用户
1074835633,普通用户
1078638923,个人认证
1079416597,普通用户
1079451072,个人认证
1079689234,个人认证
1081131263,普通用户
1081791661,普通用户
1082418131,普通用户
1084295485,普通用户
1084591081,普通用户
1084904552,普通用户
1086269164,普通用户
1086447424,普通用户
1086464621,普通用户
1086573203,普通用户
1087207414,普通用户
1087244997,普通用户
1087593422,普通用户
1089430590,普通用户
1089510241,个人认证
1093079255,普通用户
1093289764,个人认证
1094168430,个人认证
1097002920,普通用户
1097240240,普通用户
1097283072,普通用户
1097590111,个人认证
1098060232,普通用户
1098600674,普通用户
1098709662,普通用户
1098763833,普通用户
1100316182,普通用户
1101966001,普通用户
1102159373,个人认证
1102314845,普通用户
1102897464,普通用户
1103704867,普通用户
1103860227,个人认证
1105244233,普通用户
1107468551,个人认证
1107577674,普通用户
1108293703,普通用户
1108794663,普通用户
1108979027,普通用户
1109499223,普通用户
1109969904,普通用户
1110446442,普通用户
1110840514,个人认证
1111016870,普通用户
1111681197,个人认证
1112144242,个人认证
1112227525,普通用户
1113151622,个人认证
1113996015,普通用户
1114021265,官方认证
1115055691,普通用户
1116081397,普通用户
1116830395,普通用户
1118249113,个人认证
1120364865,个人认证
1133273930,普通用户
1134001773,普通用户
1134262740,普通用户
1134658370,普通用户
1135315733,个人认证
1136684454,普通用户
1136803910,个人认证
1140703570,官方认证
1142429025,普通用户
1142783627,普通用户
1144005782,普通用户
1144138830,普通用户
1144665527,普通用户
1146260171,普通用户
1146921800,普通用户
1146965490,普通用户
1147562814,个人认证
1148434717,普通用户
1149233780,普通用户
1150264282,普通用户
1150512284,普通用户
1150576014,普通用户
1151364531,普通用户
1152067663,普通用户
1154079977,普通用户
1154335272,个人认证
1154793244,普通用户
1154800380,普通用户
1154814271,普通用户
1154814715,个人认证
1155775375,普通用户
1155917154,普通用户
1156143017,普通用户
1156153397,普通用户
1157708763,普通用户
1158082872,普通用户
1158204177,普通用户
1158220151,普通用户
1159075154,普通用户
